11,1
12,1
41,2
44,2
45,1
48,1
61,1
99,1
133,1
139,3
140,1
156,1
157,1
160,1
161,5
170,2
176,2
178,1
186,1
221,1
222,1
248,1
252,1
254,1
270,2
271,1
281,1
284,1
285,1
303,1
309,1
310,1
320,3
325,1
355,1
362,1
363,1
374,1
400,1
401,1
420,2
434,1
460,1
461,1
464,1
465,1
478,2
500,1
506,1
537,1
543,2
546,1
549,1
551,3
574,2
575,2
582,1
604,2
688,2
710,1
731,2
738,1
890,1
912,1
942,2
944,2
995,2
1039,1
1043,1
1119,1
1143,1
1145,1
1150,2
1164,1
1165,1
1166,1
1167,1
1175,1
1187,1
1212,1
1227,1
1287,1
1300,1
1315,3
1316,3
1319,1
1320,1
1322,1
1331,1
1333,1
1345,1
1347,1
1348,1
1362,1
1363,1
1366,1
1389,1
1397,1
1398,1
1424,1
1497,2
1498,1
1507,1
1549,1
1580,1
1712,1
1756,1
1805,1
1858,1
1862,1
1884,1
1912,1
1922,1
1980,2
1981,2
1985,4
1986,1
1987,3
1988,2
1992,2
1993,2
1995,1
1997,3
1998,3
2081,1
2086,1
2093,1
2120,1
2192,1
2193,1
2194,1
2195,1
2256,2
2257,1
2277,1
2278,1
2357,2
2370,2
2379,2
2400,1
2417,1
2428,1
2437,1
2438,1
2467,1
2470,1
2487,1
2490,2
2495,1
2513,1
2516,1
2517,1
2542,1
2555,1
2570,1
2579,2
2580,2
2597,1
2598,1
2611,3
2616,1
2618,1
2621,1
2625,1
2626,1
2648,1
2656,1
2668,1
2672,1
2689,1
2690,1
2697,2
2698,1
2701,2
2705,1
2715,1
2735,1
2736,1
2743,1
2768,1
2777,1
2778,1
2806,1
2807,1
2808,1
2819,2
2820,1
2821,1
2843,2
2923,1
2925,1
2946,5
2961,2
2968,1
3022,2
3037,1
3044,1
3088,1
3089,1
3103,1
3110,1
3115,1
3123,1
3145,1
3168,3
3217,1
3256,1
3257,1
3274,1
3301,1
3313,1
3365,1
3366,1
3382,1
3383,1
3384,1
3385,1
3386,2
3387,1
3388,1
3389,1
3396,1
3408,1
3434,2
3435,3
3440,1
3448,1
3449,1
3450,1
3467,1
3476,1
3491,1
3506,1
3512,1
3517,1
3518,1
3534,1
3540,1
3567,1
3568,1
3569,1
3570,1
3571,1
3584,1
3587,1
3588,2
3589,1
3652,1
3653,1
3709,1
3723,1
3724,1
3727,1
3739,2
4315,1
4317,2
4325,1
4328,1
4330,1
4333,1
4336,1
4338,2
4345,1
4350,1
4357,1
4359,1
4362,1
4369,1
4370,3
4374,1
4377,1
4380,1
4383,1
4387,1
4390,2
4394,1
4399,1
4404,1
4407,1
4409,1
4420,2
4424,1
4433,1
4435,1
4442,1
4447,1
4454,2
4462,1
4468,1
4471,1
4484,1
4486,1
4490,1
4497,2
4498,3
4499,3
4501,1
4502,1
4503,1
4504,1
4514,1
4515,1
4522,1
4525,1
4530,1
4534,1
4536,1
4537,1
4538,1
4540,1
4541,1
4542,1
4543,1
4546,1
4552,1
4553,1
4555,1
4577,1
4592,2
4614,1
4615,1
4616,1
4617,1
4653,1
4654,1
4659,1
4661,1
4666,2
4678,2
4688,1
4699,1
4701,1
4728,1
4729,2
4735,1
4736,1
4737,1
4738,1
4786,1
4800,2
4802,1
4804,1
4811,1
4812,3
4816,1
4817,1
4818,1
4820,1
4830,1
4831,3
4834,1
4837,1
4845,1
4846,2
4858,2
4863,1
4892,1
4913,1
4914,2
4915,2
4916,1
4917,2
4921,1
4925,1
